Sample in Buffer,Sample in Window,TRIGGER,lab6_mb_clock_i/system_ila_0/U0/probe0_1,lab6_mb_clock_i/system_ila_0/U0/SLOT_0_LMB_abus_1[0:31],lab6_mb_clock_i/system_ila_0/U0/SLOT_0_LMB_addrstrobe_1,lab6_mb_clock_i/system_ila_0/U0/SLOT_0_LMB_ce_1,lab6_mb_clock_i/system_ila_0/U0/SLOT_0_LMB_readdbus_1[0:31],lab6_mb_clock_i/system_ila_0/U0/SLOT_0_LMB_readstrobe_1,lab6_mb_clock_i/system_ila_0/U0/SLOT_0_LMB_ready_1,lab6_mb_clock_i/system_ila_0/U0/SLOT_0_LMB_ue_1,lab6_mb_clock_i/system_ila_0/U0/SLOT_0_LMB_wait_1,lab6_mb_clock_i/system_ila_0/U0/SLOT_1_MBINTERRUPT_interrupt_1,lab6_mb_clock_i/system_ila_0/U0/SLOT_2_MBTRACE_data_access_1,lab6_mb_clock_i/system_ila_0/U0/SLOT_2_MBTRACE_data_address_1[0:31],lab6_mb_clock_i/system_ila_0/U0/SLOT_2_MBTRACE_data_byte_enable_1[0:3],lab6_mb_clock_i/system_ila_0/U0/SLOT_2_MBTRACE_data_read_1,lab6_mb_clock_i/system_ila_0/U0/SLOT_2_MBTRACE_data_write_1,lab6_mb_clock_i/system_ila_0/U0/SLOT_2_MBTRACE_data_write_value_1[0:31],lab6_mb_clock_i/system_ila_0/U0/SLOT_2_MBTRACE_dcache_hit_1,lab6_mb_clock_i/system_ila_0/U0/SLOT_2_MBTRACE_dcache_rdy_1,lab6_mb_clock_i/system_ila_0/U0/SLOT_2_MBTRACE_dcache_read_1,lab6_mb_clock_i/system_ila_0/U0/SLOT_2_MBTRACE_dcache_req_1,lab6_mb_clock_i/system_ila_0/U0/SLOT_2_MBTRACE_delay_slot_1,lab6_mb_clock_i/system_ila_0/U0/SLOT_2_MBTRACE_ex_piperun_1,lab6_mb_clock_i/system_ila_0/U0/SLOT_2_MBTRACE_exception_kind_1[0:4],lab6_mb_clock_i/system_ila_0/U0/SLOT_2_MBTRACE_exception_taken_1,lab6_mb_clock_i/system_ila_0/U0/SLOT_2_MBTRACE_icache_hit_1,lab6_mb_clock_i/system_ila_0/U0/SLOT_2_MBTRACE_icache_rdy_1,lab6_mb_clock_i/system_ila_0/U0/SLOT_2_MBTRACE_icache_req_1,lab6_mb_clock_i/system_ila_0/U0/SLOT_2_MBTRACE_instruction_1[0:31],lab6_mb_clock_i/system_ila_0/U0/SLOT_2_MBTRACE_jump_hit_1,lab6_mb_clock_i/system_ila_0/U0/SLOT_2_MBTRACE_jump_taken_1,lab6_mb_clock_i/system_ila_0/U0/SLOT_2_MBTRACE_mb_halted_1,lab6_mb_clock_i/system_ila_0/U0/SLOT_2_MBTRACE_mem_piperun_1,lab6_mb_clock_i/system_ila_0/U0/SLOT_2_MBTRACE_msr_reg_1[0:14],lab6_mb_clock_i/system_ila_0/U0/SLOT_2_MBTRACE_new_reg_value_1[0:31],lab6_mb_clock_i/system_ila_0/U0/SLOT_2_MBTRACE_of_piperun_1,lab6_mb_clock_i/system_ila_0/U0/SLOT_2_MBTRACE_pc_1[0:31],lab6_mb_clock_i/system_ila_0/U0/SLOT_2_MBTRACE_pid_reg_1[0:7],lab6_mb_clock_i/system_ila_0/U0/SLOT_2_MBTRACE_reg_addr_1[0:4],lab6_mb_clock_i/system_ila_0/U0/SLOT_2_MBTRACE_reg_write_1,lab6_mb_clock_i/system_ila_0/U0/SLOT_2_MBTRACE_valid_instr_1
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX
0,0,0,0,000008d0,1,0,f00034d7,1,0,0,0,0,0,000034d7,8,0,0,00000000,0,0,0,0,0,1,00,0,0,0,0,e06034d7,0,0,0,1,0002,00000000,1,000008d4,00,03,0,0
1,1,0,0,000008d4,1,0,b0000000,1,1,0,0,0,0,00000002,c,0,0,00000000,0,0,0,0,0,1,00,0,0,0,0,a46300ff,0,0,0,1,0002,00000000,0,000008d8,00,03,1,1
2,2,0,0,000008d8,1,0,e06034d7,1,1,0,0,0,0,000008d0,f,0,0,00000000,0,0,0,0,0,1,00,0,0,0,0,bc03fff4,0,1,0,1,0002,000008dc,1,000008dc,00,00,0,1
3,3,0,0,000008dc,1,0,a46300ff,1,1,0,0,0,0,00000000,1,0,0,00000000,0,0,0,0,0,1,00,0,0,0,0,b0000000,0,0,0,1,0002,00000000,1,000008e0,00,00,0,0
4,4,0,0,000008e0,1,0,bc03fff4,1,1,0,0,0,0,00000000,1,0,0,00000000,0,0,0,0,0,1,00,0,0,0,0,b0000000,0,0,0,1,0002,00000000,0,000008e0,00,00,0,0
5,5,0,0,000008e4,1,0,b0000000,1,1,0,0,0,0,00000000,1,0,0,00000000,0,0,0,0,0,1,00,0,0,0,0,b0000000,0,0,0,1,0002,00000000,0,000008d0,00,00,0,1
6,6,0,0,000008e4,0,0,f00034d7,1,1,0,0,0,1,000034d7,8,1,0,00000000,0,0,0,0,0,1,00,0,0,0,0,e06034d7,0,0,0,1,0002,00000000,1,000008d4,00,03,1,1
7,7,0,0,000008e4,0,0,f00034d7,0,0,0,0,0,0,000034d7,8,0,0,00000000,0,0,0,0,0,1,00,0,0,0,0,e06034d7,0,0,0,1,0002,00000000,1,000008d4,00,03,0,0
8,8,0,0,000008d0,1,0,f00034d7,1,0,0,0,0,0,000034d7,8,0,0,00000000,0,0,0,0,0,1,00,0,0,0,0,e06034d7,0,0,0,1,0002,00000000,1,000008d4,00,03,0,0
9,9,0,0,000008d4,1,0,b0000000,1,1,0,0,0,0,00000002,c,0,0,00000000,0,0,0,0,0,1,00,0,0,0,0,a46300ff,0,0,0,1,0002,00000000,0,000008d8,00,03,1,1
10,10,0,0,000008d8,1,0,e06034d7,1,1,0,0,0,0,000008d0,f,0,0,00000000,0,0,0,0,0,1,00,0,0,0,0,bc03fff4,0,1,0,1,0002,000008dc,1,000008dc,00,00,0,1
11,11,0,0,000008dc,1,0,a46300ff,1,1,0,0,0,0,00000000,1,0,0,00000000,0,0,0,0,0,1,00,0,0,0,0,b0000000,0,0,0,1,0002,00000000,1,000008e0,00,00,0,0
12,12,0,0,000008e0,1,0,bc03fff4,1,1,0,0,0,0,00000000,1,0,0,00000000,0,0,0,0,0,1,00,0,0,0,0,b0000000,0,0,0,1,0002,00000000,0,000008e0,00,00,0,0
13,13,0,0,000008e4,1,0,b0000000,1,1,0,0,0,0,00000000,1,0,0,00000000,0,0,0,0,0,1,00,0,0,0,0,b0000000,0,0,0,1,0002,00000000,0,000008d0,00,00,0,1
